country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
Country_218,0.6215860472454077,553.365839437761,77.39114841910913,22.342491535399684,8.033396627906741,75.74738216006678,8.211161176011405,75.17386672831906,41.497571619904804,52.2790640190658
Country_219,0.7381431648665423,521.7800745133653,11.152252646582273,5.207809313421135,25.02726365612624,66.40636155132049,93.24430988255115,2.69197837305325,21.06605705364455,81.86638406474593
Country_220,0.054529413972411844,434.81972090225963,48.887955043930475,11.554161152156489,8.010084850290045,56.14883343688932,47.43132413824191,72.26452772247588,59.72705783398718,94.45141064078584
Country_221,0.9673186302806966,508.4265080736561,4.668002584565212,35.57357434614688,82.95269817095809,0.06368173184710946,89.13523706571128,93.01822669483002,90.86588207273589,89.34049514236
Country_222,0.3361008251955372,462.18251070419996,8.18000498188206,15.46246201108994,69.65351683378603,93.04952845281763,15.915208345727338,87.25651323568742,54.93598517463521,98.75437923289894
Country_223,0.2973455016145313,527.4117523372511,20.400579071905632,22.835937490977052,40.22608675268086,78.37279494001798,99.23037492203164,80.00396130155765,9.717931715852945,1.0059159459044342
Country_224,0.060288948284252686,400.1918499179143,60.366791468844426,43.33566985967134,91.79106115096765,57.65116699977042,32.540665467508056,11.733432435573265,13.956050143889021,91.38877819050164
Country_225,0.16520654668651158,467.1181759223306,34.956294180203514,37.34331647096572,70.43776887169959,77.85039512256104,15.019859248610079,24.37391015425111,14.831444517520442,82.04796251017623
Country_226,0.1824182011190454,533.1550545486893,76.29844531255297,12.774757863969654,32.27493818030359,13.713829761405915,82.39124258210127,23.75969101407035,81.56734836503465,24.83307812941671
Country_227,0.9101725680341647,540.5052997106309,93.20925570331175,2.616000874467017,75.9072926110289,17.69761695895489,97.24165203042116,10.59115788475905,35.856301956366025,30.725295317112298
Country_228,0.25644740821304446,523.811611075484,18.251819286007787,10.716858361051257,64.16546683648896,0.22959811605249847,0.890444321563455,60.291339636557574,0.06265448967448517,12.114585894347485
Country_229,0.32030095015460114,536.1131315793145,33.203254397155234,6.4656611338506975,83.11052520681905,47.4214850720579,16.93365121217807,44.89158426172736,18.854930967244055,65.21812597284212
Country_230,0.0785849713743193,478.86705600222666,77.64053154583314,4.454998553748435,62.42242864176429,97.2221696861084,2.085496369147577,99.06017525116673,76.09807562873624,12.864131890030894
Country_231,0.946645416822717,495.91005691660666,51.841049769480506,34.20124067419382,31.026544699617297,20.42183586833716,19.888436129522404,72.62940950237518,99.68557336756527,2.558448670103952
Country_232,0.9848811777005199,541.4386924314963,44.5307265835968,14.253469658136686,48.85490336545571,47.36941384801161,97.79695095069091,81.33995605546993,26.84255339281053,77.37112639066271
Country_233,0.3974699071449901,577.0992000747216,69.42026742760518,43.186289075763504,85.76646023871432,71.81018510611727,80.65107247060621,32.69986513881334,83.866565106638,16.131874190413264
Country_234,0.7326299745836026,446.17102637887496,81.47439623180954,41.88109758595142,92.42680419868307,61.70568184661137,46.23087096902776,79.1107300069276,80.30017802092819,10.670882805464043
Country_235,0.7764807376889089,561.8483261387516,30.85082583677807,35.96508442033309,91.91725552640575,70.38958367032807,29.743092331292864,20.615752068887506,32.71824000585344,85.65300205989473
Country_236,0.9698051284503733,582.6862657430306,1.0787699884577728,10.876185572693958,65.98412343276077,38.71537833547778,0.7337802087907019,76.81996025722093,47.76008585509689,93.34711600371735
Country_237,0.18807848295331675,510.4689321376688,35.22872753828482,25.911272085013653,29.644073828589455,45.39830153457653,83.3448101656353,86.32790944556943,79.2982653584603,53.98468009939727
Country_238,0.39727454984006927,524.8702512673194,1.0283676139680287,25.02261542272098,68.32657775592706,44.4976900040584,46.25711012354863,29.51394649824556,64.90746023335309,79.92644428381406
Country_239,0.11670326194251013,458.1854546578128,47.063617196222985,18.222243268020723,13.634305563129933,70.40556070428899,30.163335983818396,82.86358094917547,85.98677617879493,86.56663149312399
Country_240,0.1344699556112553,518.2263624935651,57.82548013257266,43.45245121500489,2.3730305584338085,87.99632145004081,62.72470350492496,59.02597928381817,4.593364175491055,57.93949233381165
Country_241,0.6908163747299252,514.0443813343572,9.430823419678092,48.85133561797066,22.215462646291773,69.05367426837276,17.594865153050176,80.91896124272616,77.75183107507765,2.161233532698492
Country_242,0.9957996226716606,421.71425368780234,1.4045827730498006,36.96246783894038,42.616449874550696,58.863091186007374,0.17565778761517992,51.072094818409774,70.5927574325044,89.0259311389231
Country_243,0.8121741103279455,516.7171367115529,14.400998777958861,47.930270523875656,47.88910594629906,10.369068567641893,3.441779883357454,51.3026347025534,71.95344072389399,26.32111264307644
Country_244,0.6552598353889015,529.2150996481737,12.401293882134368,28.70304993292953,29.059191402720565,74.96191555113282,29.27996801627969,22.365351106565335,35.47587530804718,74.27404134505987
Country_245,0.36501215478700555,531.7019397209081,90.7642415619404,1.1284002408455618,78.36059636575754,71.17587736723968,77.50314098018077,64.33075132553041,24.439105150868567,47.28162021754277
Country_246,0.317002317291868,520.4117922261688,47.50339233808527,38.40989806960036,47.13866203949693,66.97563847780133,23.22385352761299,49.303267773993234,7.610869654605423,47.74549043989561
Country_247,0.23534332057437446,553.3863806275855,80.55946462881968,37.75509750432683,26.531205449571114,27.552327017346578,59.19570857812919,61.046061665994124,96.25037772509219,60.62640992405094
Country_248,0.8548563425680348,574.7527322750898,37.12315910926056,9.615960218884501,24.024077677961653,12.159141147431928,97.46835972251921,50.17099827146178,73.98198257626643,89.53284325181093
Country_249,0.4020117335226999,417.1438101064063,92.0827506617334,11.86065216618971,19.24715894838457,45.985998630409306,13.276382815083254,25.185337549878295,36.6957149842134,0.9723442384750869
Country_250,0.6678914993253398,567.4790571771314,32.68138879688421,42.53907736563254,13.973684540714714,2.7468667877965203,68.22904965178463,38.12932501938173,55.43548185661427,78.10473556020413
Country_251,0.9655007768112223,587.8480011118573,34.24511467333704,23.83599486026231,95.81904142371562,75.82900989452536,91.65381548207463,18.724864471425505,95.43616887465015,12.286735170054708
Country_252,0.3953848270976038,451.5905626354573,82.05466829132743,40.33900738236284,68.81356391996857,20.844661820303955,20.920101528390255,88.64540720279406,98.11003265219335,66.16532249530032
Country_253,0.5932744192427911,422.3475220208828,0.08899972270436374,20.742665120472946,41.93747487663724,84.19065808539521,27.745861094190783,22.1167529531589,75.68377756715259,24.681175574140656
Country_254,0.11688467315420203,524.1911257379392,56.262422548353776,9.902225018717836,31.64133449960057,49.497875647449916,10.05104696133361,50.32856647543552,6.485172221108915,8.908241557528884
Country_255,0.30263469219234096,465.3567798175907,15.623306186796738,31.503432348961528,94.95403681870921,51.311055188925494,32.09229408349186,19.320819309351812,32.5203105136198,68.90129847134742
Country_256,0.6790421775347298,555.5484184506837,98.00180873471727,19.36287653051127,44.15158184485469,91.38594037877684,72.18904112859701,23.452220192262917,30.640453143064082,81.90313811847358
Country_257,0.9774470231600327,568.2798626959589,8.722299041018665,37.66102428913127,12.395962155425567,83.58797694405911,94.98828329441022,96.00103697058432,72.74769051059813,53.18480903117712
Country_258,0.3954761420525049,478.12672123857664,43.6361726902623,36.374038201387634,1.4540073174369672,10.167698070653453,66.7191696066,31.20913651536369,13.264049389343647,18.675161734294477
Country_259,0.5670182488890888,573.3754093418277,32.737319780423924,35.101232537773285,14.248566447131662,23.346499190689073,10.021159479038754,22.469004627803567,15.373138207404768,15.278340836514094
Country_260,0.6814397243015459,494.8698944985059,67.8204471796472,35.201456705243785,36.936012652455666,45.07937144394,40.38951282103691,5.1755256838261765,74.53653328595132,15.294970547774122
Country_261,0.46409277868348764,414.9915230940641,89.63371761148917,33.42615718510755,57.50426743711874,54.670347463280876,27.601472607347212,98.26454374055925,17.782662877129262,64.35072693261081
Country_262,0.9487280431656635,586.020464409684,94.53811365599782,16.633127247637574,22.191435478763765,24.76467514377877,87.9647166814559,27.146604795273177,62.612933259556215,36.128721957400444
Country_263,0.9653090957192915,483.621262596192,48.355191572110755,45.55237388625042,44.65465413961874,37.79119973561522,32.317093604204,71.547844839393,17.26059210397536,70.78345281661512
Country_264,0.7724701484581572,493.14190298977513,66.96144352183137,31.92153642298913,57.78441626338052,55.51529298017711,22.69252414258699,82.10253497379814,28.486791110280187,43.84711954178648
Country_265,0.06212257649589248,498.5160441463325,44.49715233291418,48.8005252794433,18.0959444249585,76.75453905184155,3.100360096852084,65.94464333592586,21.621559560502423,23.882324487505535
Country_266,0.4163339346296636,513.004192131172,47.832675345908115,24.246416292666378,13.175167663590814,19.750304619451775,16.218989432436125,19.0093583903984,39.87213406074491,41.53664780535019
Country_267,0.47913513161215326,434.7520272854398,75.68691953496672,31.865969310477364,45.53803047111094,91.46579838779722,55.84373763156142,44.285172820560426,25.61638577299825,89.15197596865004
Country_268,0.28649925194333037,548.1429847385526,76.38146371019542,15.150958700450461,40.60685235302414,98.48471510600861,71.14327266325664,91.46172464038317,16.755428468842993,18.832731835373718
Country_269,0.21516725050394547,460.02058302534437,82.59222751256267,25.834286213605246,60.035205495348606,14.633012842077331,54.95599699399355,44.17048529715659,54.83335360214239,46.30547076811289
Country_270,0.5337308717752004,409.4389699554637,74.64028079885409,42.74759537371453,46.22952815050019,92.79604071978346,10.099271323109328,44.36813480653481,39.94068513699415,20.475706133444362
Country_271,0.12595203000636546,436.87843329241946,88.43556190562796,20.09665389774362,34.431497767366224,68.70714398376066,80.11281908742365,29.45257383664851,90.29065955355658,91.49129099629862
Country_272,0.4151531939417771,406.7637370975121,48.359915963402635,39.80740930757645,86.59823809519348,59.80435600967874,29.216277348368557,1.511462513483952,55.685140204071516,25.58617618839316
Country_273,0.8388473497753972,421.26426606224845,13.031123769417762,26.47122986272049,1.8744400063830935,42.21161683350092,86.50716326980098,45.03781207588465,28.910443131635834,66.00041610007976
Country_274,0.09282715680696063,493.41312850378677,77.97153783608971,39.090105679747516,8.02749408293183,92.78618430658682,57.59971648686473,0.5511272850500681,33.299760833864944,46.31974686117071
Country_275,0.5505022615663862,518.4552736068416,72.34056097964053,39.460018499181736,49.656981360053244,74.86922696843595,74.35994626645227,96.10072894150059,63.926376734144206,49.926662604588124
Country_276,0.9358137737689319,441.0962324320877,87.41114029012292,23.442238034830552,10.715815212206303,93.30948057792828,35.6645315053549,5.484858654433511,98.20367231316297,87.19955411174757
Country_277,0.7791752531667528,421.7240879749099,68.43738428471684,1.7022474208305716,80.55958114500177,86.62964419732648,73.88953087749623,68.73329016320469,46.97111104650349,58.524445993357624
Country_278,0.4707413764932392,549.8192698368462,82.58128633824707,33.49343243324499,5.295028063513985,10.398236498858681,38.26613644101805,43.53388571201139,60.03938754501322,7.266616202624654
Country_279,0.573621521641125,469.24328433850604,43.0485413090512,5.434336900014536,55.14390441691932,20.56464515516947,64.85256230114422,5.975975597573924,28.320479914996632,58.7065431664674
Country_280,0.9984992493358639,542.0089632072437,36.015051653226394,0.5958048679480188,13.428799531381108,20.776031603473744,77.1130865268408,33.720838522690734,98.4193775644434,38.061346727741416
Country_281,0.554650512022003,510.0279857014415,4.502481598400876,8.444611307088612,50.90820873512132,66.709842032275,30.32233311109851,45.276691771373166,69.59295696030588,11.156932858615543
Country_282,0.28114374714450385,493.0855441185694,17.18966059061212,48.80534902057629,64.86296263678246,18.40548365099878,46.0656551089229,39.27759783611027,32.99614044938447,41.23010780582148
Country_283,0.26374341263687073,560.7685518159674,71.46105984239573,41.69581824614202,28.361605842465952,77.93589229320138,93.02506727523449,84.71153784713917,40.371502922466526,4.923662907739546
Country_284,0.6275994657693182,550.5046430026437,28.14363333514036,19.850953372019355,13.79954757397569,65.60952833297112,41.65218697894082,93.34010985054934,49.42494931039744,40.27414138309571
Country_285,0.04382117515309614,470.2355651252973,89.56384359529338,34.838790689925155,34.60252569394056,62.123060876218005,65.82307996443943,9.143366800412911,13.472437620382593,65.86734909405743
Country_286,0.9729570415236866,569.7555640809678,53.19704078199401,20.46071909081092,23.90377717679284,18.652408147828027,40.36238691100345,37.57660029336262,25.276869945652216,69.65364083670423
Country_287,0.2758708686471444,518.0633565421485,5.329672018695842,44.44675702008056,22.444675245044387,19.719560006415893,28.36620604853579,56.51197798480333,82.39381121384858,45.84265389024375
Country_288,0.5832853063271164,460.2733980402554,68.28483326973537,40.48830746742008,23.491830181685092,90.22167092907615,56.777395462461556,5.691862635181478,74.367101830968,13.578645331798045
Country_289,0.6854734595959084,402.3318211489012,82.7461886813055,14.816536302996091,69.91879805387141,75.98191281221652,35.57664164142788,98.84916062083187,31.02113409770162,24.389412540636414
Country_290,0.7478539854136387,464.3278578041418,49.46880762536209,1.3012051991343587,9.970608977879348,50.313420371334594,94.59660876452699,95.38708729752159,8.322565920310687,56.94308982589488
Country_291,0.7356452797325301,548.4701647462687,1.3192004717342387,38.87209240862452,24.40470043204045,42.93949588865759,79.72752770930629,68.22212601817222,69.81184319756653,73.24608451669087
Country_292,0.28669707887003804,507.7586424708207,67.2844834097051,47.9428928590035,13.732214658822418,76.58241684291713,13.595628023189487,4.846781413629064,66.90241688758589,58.54526091354808
Country_293,0.767004177813931,412.2348163137072,46.95971762641549,2.7642929164495342,63.29514386885485,27.858982325331162,1.6958268272775356,80.42438086870051,17.597862854724646,86.6285744044012
Country_294,0.7586308728238689,559.0797712895799,32.25614556684224,24.377063973556112,28.842383185174604,95.7012663733235,30.990646899605046,26.82930917747779,55.009063981861516,85.19262645131145
Country_295,0.7148611773031248,586.8055956610024,80.74854362351562,39.79356180980337,3.996970761266261,8.108406740085428,23.416115674796533,29.939478800188223,2.7602934541386293,69.91716275394666
Country_296,0.4885357926671984,498.2361312704958,87.18896859857911,2.3205598043509856,55.030093340505125,98.99767825963723,59.33665883999939,7.403029033575437,99.04744597493095,53.26780881471389
Country_297,0.15557259696742332,584.1510867358732,63.35462365438418,48.11925108689252,34.000307334865155,23.459352543135726,12.661440439911686,20.323392431962482,60.148283438085805,42.71106767878141
Country_298,0.6693251566799875,477.4594260627652,59.31074413190237,41.25271970526803,43.32249099748853,74.2949600868105,16.842395341846363,96.02913536006116,64.41597884962265,30.963695197442178
Country_299,0.9160254451760516,459.95831725426564,28.1754978795284,8.129441297126016,67.53679069247904,73.93122360890654,75.15006916620037,68.6698329234556,49.53923280282662,23.955169790851205
Country_300,0.010311403531870877,536.8824809985729,16.52103633097205,18.472253153767067,55.060232410035105,48.171756177135805,97.36386539760925,87.61560286541543,39.03073557176169,83.39492965624096
Country_301,0.5540637222852494,449.4667872733897,89.41123744764418,26.78965855639347,15.579390807133686,81.5265686953498,65.61252845288313,47.00646879618874,63.098895388006056,63.25053325600544
Country_302,0.13484384442422814,571.5249507343403,54.81312513498958,3.1965330917038184,24.13129178622171,69.12012606287387,8.859990226116231,37.29523691410769,78.66362353692473,29.29968633004707
Country_303,0.014680910996895835,402.09775008446184,17.76204837524247,28.059582794237336,17.54891535744363,41.50095970086062,4.654265452739503,0.8711598427957989,73.7365632468145,78.50753720288643
Country_304,0.4674193723178979,505.7461290275008,14.053470516448229,45.64575383064388,38.59795383580609,14.698357108514115,24.64411524071817,92.61315567514818,45.71714051195569,22.382207153879328
Country_305,0.3058546449184216,589.3370332137238,7.8391777570559595,22.61517304777475,88.91751993644097,83.16307468600526,9.007055740041093,39.69280840331355,72.23237984335519,83.04156697979694
Country_306,0.020867707561847526,446.2054011621459,27.305291529296593,47.68400626579506,59.20723363498654,7.750053623930786,72.87876360420496,74.07151173735384,82.90423969881462,78.68301225008082
Country_307,0.6793170908523216,502.7092059741946,7.870756038185112,38.30208661322178,76.54319960873175,22.604574469241822,93.08694163668207,10.007248798213464,21.195554274424,31.315874134456244
Country_308,0.4984005223655191,509.51980137860005,73.81846092496214,17.337574339115562,34.909504697037484,94.53442722894633,2.40519176572056,45.047579045248966,79.83096717628487,57.8316501215178
Country_309,0.5855621983125947,438.88689448881837,39.65619529231659,0.5409115888882265,22.762464050367683,28.073833122001012,98.94167977649239,1.9342880296225662,94.46638893329813,24.094169731335345
Country_310,0.12741717600224156,476.9438046197588,97.18819679420625,7.2558883068560505,1.1923299817751976,6.30292245782228,46.9704758300313,20.72535183375924,59.11012851532785,73.18620112412904
Country_311,0.5872207664745343,507.9682591655251,75.29930365401474,34.67824616238122,64.61849588470305,13.936026121806522,97.9132585593019,58.538849514069234,64.99394785902852,24.69528070840983
Country_312,0.7893240314079978,508.69313891685255,24.743261015555372,8.284347976251516,82.399259966272,55.32669750100396,50.91668983678767,38.91351243769513,92.20009227532184,26.229938548740105
Country_313,0.9752523924642712,550.1690864642756,86.55972119037251,29.91776364882423,36.16186513635371,6.098815275016212,19.360493852652404,80.86373865250937,5.377364222192604,33.7387925964828
Country_314,0.42053913954514643,453.0212744702044,77.43565040273774,12.384333941991793,44.70316806057123,38.414076928183626,21.417092155557505,93.10057347156531,53.504163265062786,40.78323822115502
Country_315,0.36269968953770026,590.7147782963939,67.92380951163908,29.707798138299157,90.61580333702682,20.782241995444227,0.03311766275065908,91.63657828097776,35.36958569984705,4.387954489470658
Country_316,0.9715503683000709,545.0045694775703,68.01037165717837,25.070208737253484,8.33733413566219,55.422017562546365,73.33907080757218,64.98091116160171,32.69860674020553,87.26960208865712
Country_317,0.7796087656170109,558.2878213644278,36.53486647276609,12.149246432454818,59.286848117592626,91.95917844998039,10.031033548422563,36.14477753080146,26.677326111833878,38.301777381617505
Country_318,0.9367511358431151,444.23009010539107,21.5757865058815,36.353286066062594,28.238910569615218,84.90043080937798,30.354810802313526,75.67451136525408,10.655102411704299,71.82368356176116
Country_319,0.10976343858455084,492.63859568747273,63.941638280461135,28.055125832171434,11.377337510579732,15.564498218150803,55.998009744563525,95.54757513549936,26.876519028003553,32.244286074069414
Country_320,0.8021664477213326,410.5492018311263,10.268821739780776,16.160344571740303,7.553513806138524,89.43042507558238,68.27831047464066,22.653773755333006,91.97678925900469,60.0905817945096
Country_321,0.35619577862385476,589.0725748941991,52.23541747158723,35.75297636439787,66.51662396014395,64.02399053620589,27.46182215060504,35.54340031362803,10.763015102464236,63.32549380373149
Country_322,0.3840514531376762,533.3703547807077,10.487504927829017,13.011961606271106,79.12842462013755,69.4814137975641,18.127470965963756,31.60294578868098,56.343010337490554,20.376238717631523
Country_323,0.9310598905062976,437.6950492995807,47.99977431498175,4.8824036223389715,91.63643409763996,51.88722582321462,15.493070370437989,22.29281198487524,64.18317946071865,85.8756240264557
Country_324,0.30152359571488485,541.0811516733058,19.09693323442241,20.380856778936064,24.70960926053304,16.170973183590366,29.323016532509538,24.75650131407433,87.29542996534317,81.95987792766535
Country_325,0.3994089575215294,567.8872186331288,76.85093713497966,7.048023834236544,45.40635245247026,43.44145904734448,19.941885078077426,81.6366670800523,92.59371056298797,5.753063359060883
Country_326,0.9385794741589932,440.6483738060057,58.8855886316344,2.863561032447781,22.85020985161529,49.06385256334783,88.36669411804297,19.691036160792997,34.57597817802408,30.70968655834423
Country_327,0.509950645635609,435.0521040558964,15.982892833195706,32.28526659731658,4.298706253100127,68.93951251253222,63.484120369637786,58.00791026845725,97.91033215953601,12.525336874213211
Country_328,0.7827685487724925,438.733500166824,16.524306736478543,13.03080281132174,63.80799032986636,14.360677043342973,81.70093153891052,76.57655039602541,94.39588826059106,92.4045402431372
Country_329,0.8280541458206067,475.1405750975487,60.25038558201216,47.7517849518345,15.790211273823008,47.72553347640726,85.15383973451914,23.227948739905322,59.59937241594222,13.158046521909728
Country_330,0.3262306071306432,442.14359989392915,61.986857091740546,34.617378378766524,68.70988752165194,71.05347887383337,6.787621613144079,29.56156626982026,73.12255468213553,62.629282053392835
Country_331,0.8563126449966058,534.575841819944,49.180419651134876,11.459383765946384,42.98325145718916,65.94486872406034,77.75748521068809,66.87549922753897,46.28529140909324,21.258480119095967
Country_332,0.6908447889643764,418.7252641275587,68.28648868885364,17.925617620712973,74.2736509259536,45.47670556273042,81.0710341390034,59.6461316491708,90.75385045719298,78.07032115659906
Country_333,0.9475521864373729,525.8375422736221,24.38019047790706,1.858031380018077,44.13270674807307,37.81549937391239,71.99516641757697,5.280885402434632,55.137219328698464,61.418266962318654
Country_334,0.3751376702297011,477.3984979009399,75.14082266646122,42.093404419337446,34.01776431781908,69.08705786030937,74.84087792019885,45.96603023393263,55.240376650195635,35.82914465772342
Country_335,0.8619105263817518,415.1998150287146,3.6236378312053286,23.788087709407396,24.092396549366914,54.966801414021795,26.439766584961166,35.96047421904524,48.12080597842441,58.98668710759989
Country_336,0.5055342504594107,579.9097804886924,23.303120552104474,15.462040273421652,11.320216240968929,34.77139693997545,42.92047678515788,14.349059248322494,68.33560650311742,49.173335687262465
Country_337,0.9342553116701483,473.08016370278455,19.828549731963506,13.688306803162503,15.798215435183128,39.49476478463355,64.87897845059271,42.45132926692292,56.548527485623566,94.83360830627204
Country_338,0.6438659385604228,572.9996051357957,99.24670286202277,10.138811941449344,90.02647269499792,39.48743984813795,96.5291096891403,38.24044959581345,79.50676983764731,69.67858218203715
Country_339,0.5256652382560191,528.6351249642441,71.97700343442301,43.9316875454598,15.890329955885118,12.14833172184554,23.049847949029612,29.994835906795736,79.76442072464405,65.34136091208221
Country_340,0.4936524404721586,485.17506082184457,86.08550863498718,30.883541506817636,28.745488620745252,90.19502775810054,91.47755341649861,46.62869045794816,90.1387213089413,31.41924409017136
Country_341,0.5324926393758695,429.16703749523583,26.581420528986087,34.47685891199425,57.845516811894434,5.1158116205489605,26.884582207263964,69.87506416631759,70.12436977412267,0.9431439672491382
Country_342,0.5296538538725163,504.0944135346019,75.6135819661026,27.619706487051516,62.95255442161887,77.16881626089734,23.70711049901333,74.14506305654673,77.5136362386854,84.3602478368878
Country_343,0.9617327679807054,447.55039920240523,63.05987056398132,38.27452994502457,76.90458809618427,81.75059333557542,35.130907643930485,90.41864387264904,59.52588137980245,88.81700219402823
Country_344,0.31685567504129897,470.28791807441445,15.539586690393003,36.540070912649284,16.43014461591156,14.276038527736912,2.461275289570286,58.6038802670551,27.377531005210543,76.90323311008181
Country_345,0.2312687058007704,496.9532858420073,31.74782296782981,20.362973768240312,98.56618723054655,31.445970259488153,38.83476019833547,91.25934183554017,25.32447763012896,19.925422518907375
Country_346,0.9915386781457353,407.95474301202245,69.61348406305639,38.053297158188926,43.102321189203565,17.279721156081727,80.77036521654702,6.734924044623336,43.72741256773081,73.93439566453796
Country_347,0.4288254313649784,446.55133817183224,21.846098512210553,38.14579598677753,72.90603723942091,73.2137232823633,80.64774692735386,27.670622230921193,51.09441931003794,29.338456647221133
Country_348,0.5667421903232961,570.2657229333038,21.33632709625526,12.287328996443664,79.99778424221714,42.158242523585145,32.26589886846243,51.26195638975341,4.994873077968965,25.219455219089404
Country_349,0.523084657911547,560.6200603893586,42.00463007708248,42.01537597338064,91.19916682195768,40.120057132371144,98.34786843624815,52.13924068941076,79.89947609922207,93.13073630984667
Country_350,0.5536998592667827,576.9436077706514,74.01947507398798,42.83618254702578,1.4883618564647816,19.697404083130888,58.53439727762733,71.11128287745649,92.42963647733838,6.11363180999871
Country_351,0.5667121595088527,410.40116108408597,22.767403547783506,26.57417530907039,25.896550044642396,29.429693234503375,61.96959715036681,61.81060256949451,35.30144548691187,32.37914858320289
Country_352,0.6042674046103524,547.8552072131322,54.56692034805239,11.088228120420657,75.2521034319549,33.867287824851836,77.79478156496246,28.612201787099078,52.87087798904878,56.355055852668215
Country_353,0.3021997882700833,578.9776221473865,88.59180634071518,18.167498018827487,95.03236633939525,1.5770147239235754,43.554743535729145,47.23682332296315,55.29857397467599,10.5093872566281
Country_354,0.9517019083168196,516.832234900767,79.88322680392034,36.63946781061884,19.003896887477,29.275486874311095,45.60335451032468,54.14666639878949,65.47739583307097,68.12497089961964
Country_355,0.588703652453733,522.6102301127853,28.949131695491115,47.55533365827437,39.766097872165815,69.31816864237712,95.54888532383576,64.99371240645885,68.77492012936239,4.690945187879447
Country_356,0.2242421273778611,558.8447660109169,72.68159592696686,2.564138536082589,12.876391704423629,96.2268501092532,56.910137732539624,10.691221344226488,37.29980813680699,86.03636724827936
Country_357,0.9706653836864994,453.296171118107,31.54014318289321,9.088947190637036,39.203275462670376,7.370976029710741,5.606001888832834,80.78522291351617,88.31354952613665,10.822273037928188
Country_358,0.3740960446859386,564.2354517745637,40.97150712967104,34.787182550326854,76.52699930666063,16.588028893714856,40.0918365088537,2.6458263896093404,64.77365301948142,11.963282840937605
Country_359,0.6608157117248783,412.02456742922817,56.7364631250021,18.28440185954895,15.59813216259821,96.8242359416004,28.594016837184768,66.37843707965268,78.0797693774695,3.4670168326383255
Country_360,0.7904278563359838,461.49959809864225,47.97795752465564,33.762130869936314,33.26428382496156,37.700643953627136,89.55614965241875,41.400004531716576,75.53511326716578,27.341885622721207
Country_361,0.8576006781226841,416.8974626971539,90.35809105751899,9.997423771045726,69.24319367520623,86.05510629506894,96.8599189239031,49.9343654063752,66.22057544129622,30.529277044626113
Country_362,0.9365683642017373,590.8547870547633,84.4343712175114,19.134214491881973,88.19715574111139,51.98627159025698,19.994518653422777,71.21802101728719,76.33207241144603,94.40644109084225
Country_363,0.7995464514629149,582.0312648048107,8.658824149735334,8.253884000099005,27.44452423943248,49.0845312658199,87.10660482618871,49.429122022561764,31.976134261063848,40.46754950895646
Country_364,0.9283563547203126,561.9077593421772,13.26234704984185,9.576038270659431,87.33025231474262,33.17644926194846,81.59830919422411,47.45698015672083,20.970773674527443,80.972757416386
Country_365,0.39870379855683835,463.71714626808915,78.36646827423282,42.821167270224,75.22802456424519,21.618002817507566,0.7320100476099545,53.945750102361615,31.585799125472967,28.546210940980586
Country_366,0.7404449806396144,493.16311622861826,89.89898860814834,1.0556136876645084,64.64724580535457,21.44363716902925,93.05148738988245,45.118411407668546,3.920554958111444,65.35729766041385
Country_367,0.4499716321820115,585.8218330909324,57.691981105613586,47.900686227898184,64.63971002985168,4.796918694934272,88.18752277660515,56.374559468627595,90.24725670054202,28.704322667646707
Country_368,0.6620225496990166,561.8282184984201,96.79387152032312,17.145233656537084,36.48857744784394,8.287839397259456,93.98442328002373,97.19770775010026,3.764741885755052,56.2409361749221
Country_369,0.26227025046022967,495.06948058991003,94.28964131608726,49.2145979784318,44.11985329149807,15.302523781180389,52.57785829894027,17.590374292969614,5.539633185102499,65.6793745448395
Country_370,0.19159758411597438,563.9940543061623,54.68801159358615,3.264534040693773,38.567226329360096,50.230523200106866,51.51834445921975,34.87887763124324,98.5038088901494,43.706128747450514
Country_371,0.6156508863422055,405.84081174796387,38.815260779782,21.8266262843025,40.576835409755084,54.921064311546886,59.84764727524824,84.38089981314782,73.61475604453179,72.64116959596392
Country_372,0.18418484358613008,566.4729487585242,60.18247826798538,28.50215828055287,33.50712155985408,82.13412175014085,44.58929546139909,38.92126785858604,0.09446001502693147,70.59749015757754
Country_373,0.38622605738788196,443.0808069240307,18.825016672942652,5.176519121900952,12.252468973413366,42.8185575024681,99.75061875406224,32.61928704136604,78.76770995675919,80.56013719822826
Country_374,0.6744592043289682,511.651342432734,3.39297828244266,24.054032572624173,68.8588385624818,30.247896653338557,75.47359029876966,2.220914429764398,66.17939427321296,4.768328855553183
Country_375,0.646071424543227,405.0346671154424,10.846061853733445,21.095636420696877,26.6621218729993,21.182613974364806,49.637763275811075,2.4619054683900132,5.443389236560847,47.77519183013054
